candidate_id,race_id,district_id,year,state,district,candidate_name,party,candidate_votes,total_votes,FEC_candidate_id,CAND_ICI,TTL_DISB
2010_H4AZ04024,AZ_2_2010,AZ_2,2010,ARIZONA,2,TRENT FRANKS,Republican,173173,266894,H4AZ04024,I,1029036.85
GEN_000007,AZ_2_2010,AZ_2,2010,ARIZONA,2,POWELL GAMMILL,Other,10820,266894,,,
2010_H6AZ02155,AZ_2_2010,AZ_2,2010,ARIZONA,2,JOHN THRASHER,Democrat,82891,266894,H6AZ02155,C,22020.76
2012_H2AZ08094,AZ_2_2012,AZ_2,2012,ARIZONA,2,RON BARBER,Democrat,147338,292279,H2AZ08094,O,2690570.19
2012_H2AZ08102,AZ_2_2012,AZ_2,2012,ARIZONA,2,MARTHA MCSALLY,Republican,144884,292279,H2AZ08102,C,1442044.71
2014_H2AZ08094,AZ_2_2014,AZ_2,2014,ARIZONA,2,RON BARBER,Democrat,109543,219351,H2AZ08094,I,3610617.45
2014_H2AZ08102,AZ_2_2014,AZ_2,2014,ARIZONA,2,MARTHA MCSALLY,Republican,109704,219351,H2AZ08102,C,4503580.94
2016_H6AZ02189,AZ_2_2016,AZ_2,2016,ARIZONA,2,MATT HEINZ,Democrat,135873,315679,H6AZ02189,C,1585089.25
2016_H2AZ08102,AZ_2_2016,AZ_2,2016,ARIZONA,2,MARTHA MCSALLY,Republican,179806,315679,H2AZ08102,I,8004418.35
2018_H8AZ02185,AZ_2_2018,AZ_2,2018,ARIZONA,2,LEA MARQUEZ PETERSON,Republican,133083,294152,H8AZ02185,O,1457230.95
2018_H8AZ01104,AZ_2_2018,AZ_2,2018,ARIZONA,2,ANN KIRKPATRICK,Democrat,161000,294152,H8AZ01104,O,4519793.32
GEN_001639,AZ_2_2020,AZ_2,2020,ARIZONA,2,BRANDON SCHLASS,Other,35,381054,,,
GEN_001640,AZ_2_2020,AZ_2,2020,ARIZONA,2,IMAN BAH,Other,99,381054,,,
2020_H8AZ01104,AZ_2_2020,AZ_2,2020,ARIZONA,2,ANN KIRKPATRICK,Democrat,209945,381054,H8AZ01104,I,1433662.33
2020_H8AZ02201,AZ_2_2020,AZ_2,2020,ARIZONA,2,BRANDON MARTIN,Republican,170975,381054,H8AZ02201,O,387527.04
GEN_000009,AZ_3_2010,AZ_3,2010,ARIZONA,3,MICHAEL SHOEN,Other,10478,208071,,,
2010_H0AZ03362,AZ_3_2010,AZ_3,2010,ARIZONA,3,BEN QUAYLE,Republican,108689,208071,H0AZ03362,O,2645463.16
2010_H0AZ03305,AZ_3_2010,AZ_3,2010,ARIZONA,3,JON HULBURD,Democrat,85610,208071,H0AZ03305,O,1647489.95
GEN_000008,AZ_3_2010,AZ_3,2010,ARIZONA,3,LEONARD CLARK,Other,3294,208071,,,
2012_H2AZ07070,AZ_3_2012,AZ_3,2012,ARIZONA,3,RAUL M GRIJALVA,Democrat,98468,168698,H2AZ07070,I,930949.81
2012_H2AZ07146,AZ_3_2012,AZ_3,2012,ARIZONA,3,GABRIELA SAUCEDO MERCER,Republican,62663,168698,H2AZ07146,C,230285.18
2012_H2AZ03145,AZ_3_2012,AZ_3,2012,ARIZONA,3,BLANCA GUERRA,Other,7567,168698,H2AZ03145,C,13275.0
