year,state,state_po,district,runoff,special,candidate,party,candidatevotes,totalvotes
2022,FLORIDA,FL,2,False,False,"AL LAWSON, JR",DEMOCRAT,121153,301389
2022,FLORIDA,FL,3,False,False,KAT CAMMACK,REPUBLICAN,178101,284893
2022,FLORIDA,FL,3,False,False,DANIELLE HAWK,DEMOCRAT,103382,284893
2022,FLORIDA,FL,3,False,False,LINDA S BROOKS,NO PARTY AFFILIATION,3410,284893
2022,FLORIDA,FL,4,False,False,AARON BEAN,REPUBLICAN,165696,274103
2022,FLORIDA,FL,4,False,False,LASHONDA “LJ” HOLLOWAY,DEMOCRAT,108402,274103
2022,FLORIDA,FL,5,False,False,JOHN H RUTHERFORD,REPUBLICAN,1,1
2022,FLORIDA,FL,6,False,False,MICHAEL WALTZ,REPUBLICAN,226548,300755
2022,FLORIDA,FL,6,False,False,JOSEPH “JOE” HANNOUSH,LIBERTARIAN,74207,300755
2022,FLORIDA,FL,7,False,False,CORY MILLS,REPUBLICAN,177966,304055
2022,FLORIDA,FL,7,False,False,KAREN GREEN,DEMOCRAT,126079,304055
2022,FLORIDA,FL,8,False,False,BILL POSEY,REPUBLICAN,222128,342208
2022,FLORIDA,FL,8,False,False,JOANNE TERRY,DEMOCRAT,120080,342208
2022,FLORIDA,FL,9,False,False,SCOTTY MOORE,REPUBLICAN,93827,202368
2022,FLORIDA,FL,9,False,False,DARREN SOTO,DEMOCRAT,108541,202368
2022,FLORIDA,FL,10,False,False,CALVIN B WIMBISH,REPUBLICAN,78844,199910
2022,FLORIDA,FL,10,False,False,MAXWELL ALEJANDRO FROST,DEMOCRAT,117955,199910
2022,FLORIDA,FL,10,False,False,JASON HOLIC,NO PARTY AFFILIATION,2001,199910
2022,FLORIDA,FL,10,False,False,USHA JAIN,NO PARTY AFFILIATION,1110,199910
2022,FLORIDA,FL,11,False,False,DANIEL WEBSTER,REPUBLICAN,205995,326609
2022,FLORIDA,FL,11,False,False,SHANTE MUNNS,DEMOCRAT,115647,326609
2022,FLORIDA,FL,11,False,False,KEVIN PORTER,NO PARTY AFFILIATION,4967,326609
2022,FLORIDA,FL,12,False,False,GUS M BILIRAKIS,REPUBLICAN,226601,321995
2022,FLORIDA,FL,12,False,False,KIMBERLY WALKER,DEMOCRAT,95390,321995
2022,FLORIDA,FL,13,False,False,ANNA PAULINA LUNA,REPUBLICAN,181487,341546
2022,FLORIDA,FL,13,False,False,ERIC LYNN,DEMOCRAT,153876,341546
2022,FLORIDA,FL,13,False,False,FRANK CRAFT,LIBERTARIAN,6163,341546
2022,FLORIDA,FL,14,False,False,JAMES JUDGE,REPUBLICAN,113427,263164
2022,FLORIDA,FL,14,False,False,KATHY CASTOR,DEMOCRAT,149737,263164
2022,FLORIDA,FL,15,False,False,LAUREL LEE,REPUBLICAN,145219,248054
2022,FLORIDA,FL,15,False,False,ALAN M COHN,DEMOCRAT,102835,248054
2022,FLORIDA,FL,16,False,False,VERN BUCHANAN,REPUBLICAN,189762,305358
2022,FLORIDA,FL,16,False,False,JAN SCHNEIDER,DEMOCRAT,115575,305358
2022,FLORIDA,FL,17,False,False,W GREGORY STEUBE,REPUBLICAN,222483,348506
2022,FLORIDA,FL,17,False,False,ANDREA DORIA KALE,DEMOCRAT,123798,348506
2022,FLORIDA,FL,17,False,False,THEODORE “PINK TIE” MURRAY,NO PARTY AFFILIATION,2225,348506
2022,FLORIDA,FL,18,False,False,C SCOTT FRANKLIN,REPUBLICAN,167429,224234
2022,FLORIDA,FL,18,False,False,"KEITH R HAYDEN, JR",NO PARTY AFFILIATION,56647,224234
2022,FLORIDA,FL,19,False,False,BYRON DONALDS,REPUBLICAN,213035,313274
2022,FLORIDA,FL,19,False,False,CINDY BANYAI,DEMOCRAT,100226,313274
2022,FLORIDA,FL,20,False,False,DREW MONTEZ CLARK,REPUBLICAN,52151,188366
2022,FLORIDA,FL,20,False,False,SHEILA CHERFILUS-MCCORMICK,DEMOCRAT,136215,188366
2022,FLORIDA,FL,21,False,False,BRIAN J MAST,REPUBLICAN,208614,328505
2022,FLORIDA,FL,21,False,False,CORINNA BALDERRAMOS ROBINSON,DEMOCRAT,119891,328505
2022,FLORIDA,FL,22,False,False,DAN FRANZESE,REPUBLICAN,122194,272204
2022,FLORIDA,FL,22,False,False,LOIS FRANKEL,DEMOCRAT,150010,272204
2022,FLORIDA,FL,23,False,False,JOE BUDD,REPUBLICAN,130681,279049
2022,FLORIDA,FL,23,False,False,JARED MOSKOWITZ,DEMOCRAT,143951,279049
2022,FLORIDA,FL,23,False,False,CHRISTINE SCOTT,NO PARTY AFFILIATION,3079,279049
2022,FLORIDA,FL,23,False,False,MARK NAPIER,NO PARTY AFFILIATION,1338,279049
2022,FLORIDA,FL,24,False,False,JESUS G NAVARRO,REPUBLICAN,52449,185891
2022,FLORIDA,FL,24,False,False,FREDERICA S WILSON,DEMOCRAT,133442,185891
2022,FLORIDA,FL,25,False,False,CARLA SPALDING,REPUBLICAN,105239,234352
2022,FLORIDA,FL,25,False,False,DEBBIE WASSERMAN SCHULTZ,DEMOCRAT,129113,234352
2022,FLORIDA,FL,26,False,False,MARIO DIAZ-BALART,REPUBLICAN,143240,202108
2022,FLORIDA,FL,26,False,False,CHRISTINE ALEXANDRIA OLIVO,DEMOCRAT,58868,202108
2022,FLORIDA,FL,27,False,False,MARIA ELVIRA SALAZAR,REPUBLICAN,136038,237442
2022,FLORIDA,FL,27,False,False,ANNETTE TADDEO,DEMOCRAT,101404,237442
2022,FLORIDA,FL,28,False,False,CARLOS A GIMENEZ,REPUBLICAN,134457,211150
2022,FLORIDA,FL,28,False,False,ROBERT ASENCIO,DEMOCRAT,76665,211150
2022,GEORGIA,GA,1,False,False,EARL L “BUDDY” CARTER,REPUBLICAN,156128,263965
2022,GEORGIA,GA,1,False,False,WADE HERRING,DEMOCRAT,107837,263965
2022,GEORGIA,GA,2,False,False,CHRIS WEST,REPUBLICAN,108665,241340
2022,GEORGIA,GA,2,False,False,"SANFORD D BISHOP, JR",DEMOCRAT,132675,241340
