race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE,spending_ratio,adjusted_margin
OH_12_2018,OH_12,2018,341647,TROY BALDERSON,Republican,I,DANNY O'CONNOR,Democrat,C,4.22,2521180.88,8462831.59,7.0,-8.6,0.2979122121464785,5.82
OH_12_2020,OH_12,2020,437672,TROY BALDERSON,Republican,I,ALAINA SHEARER,Democrat,C,13.47,1999772.89,1032453.0,7.0,-3.1,1.9369142130440804,9.57
OH_13_2018,OH_13,2018,251370,TIM RYAN,Democrat,I,CHRIS DEPIZZO,Republican,C,21.99,1653509.9,91710.9,-7.0,-8.6,18.029589721614332,6.39
OH_13_2020,OH_13,2020,330801,TIM RYAN,Democrat,I,CHRISTINA M HAGAN,Republican,C,7.55,2089544.91,830559.7,-7.0,-3.1,2.5158274715231186,-2.55
OH_1_2018,OH_1,2018,300871,STEVE CHABOT,Republican,I,AFTAB PUREVAL,Democrat,C,4.42,3026091.86,4140079.89,5.0,-8.6,0.730925958049568,8.02
OH_1_2020,OH_1,2020,385285,STEVE CHABOT,Republican,I,KATE SCHRODER,Democrat,C,7.15,2888368.93,4072238.34,5.0,-3.1,0.7092828780743713,5.25
OH_6_2012,OH_6,2012,308980,BILL JOHNSON,Republican,I,CHARLIE WILSON,Democrat,C,6.5,2052250.45,1562856.56,5.0,-1.1,1.3131406314089373,2.6
OH_6_2014,OH_6,2014,190652,BILL JOHNSON,Republican,I,JENNIFER GARRISON,Democrat,C,19.65,1920522.32,942867.48,8.0,5.7,2.0368952803420477,5.95
OK_5_2012,OK_5,2012,261677,JAMES LANKFORD,Republican,I,TOM GUILD,Democrat,C,21.44,815426.72,151632.72,13.0,-1.1,5.37764355872532,9.54
OK_5_2014,OK_5,2014,159133,STEVE RUSSELL,Republican,O,AL MCAFFREY,Democrat,O,23.78,845632.21,176109.98,12.0,5.7,4.80172793160274,6.08
OK_5_2016,OK_5,2016,280570,STEVE RUSSELL,Republican,I,AL MCAFFREY,Democrat,C,20.28,847767.97,67794.59,12.0,1.1,12.504950173752803,7.18
OK_5_2018,OK_5,2018,238960,KENDRA HORN,Democrat,C,STEVE RUSSELL,Republican,I,1.4,1184293.99,891903.25,10.0,-8.6,1.3278278669799668,2.8
OK_5_2020,OK_5,2020,303849,STEPHANIE BICE,Republican,C,KENDRA S HORN,Democrat,I,4.12,3567879.35,5976536.82,10.0,-3.1,0.5969810707198153,-2.78
OR_4_2018,OR_4,2018,372893,PETER DEFAZIO,Democrat,I,ART ROBINSON,Republican,C,15.1,1388447.69,168255.13,0.0,-8.6,8.252037783335343,6.5
OR_4_2020,OR_4,2020,467705,PETER A DEFAZIO,Democrat,I,ALEK SKARLATOS,Republican,C,5.32,5884593.25,5338964.33,0.0,-3.1,1.102197521143581,2.22
OR_5_2018,OR_5,2018,358469,KURT SCHRADER,Democrat,I,MARK CALLAHAN,Republican,C,13.2,862328.91,35313.09,0.0,-8.6,24.41952573394172,4.6
OR_5_2020,OR_5,2020,452646,KURT SCHRADER,Democrat,I,AMY RYAN COURSER,Republican,C,6.74,1937976.57,221541.97,0.0,-3.1,8.747672371063596,3.64
PA_10_2018,PA_10,2018,291033,SCOTT G PERRY,Republican,I,GEORGE B SCOTT,Democrat,C,2.64,1645975.5,2201795.35,6.0,-8.6,0.7475606213810925,5.24
PA_10_2020,PA_10,2020,391834,SCOTT G PERRY,Republican,I,EUGENE A DEPASQUALE,Democrat,C,6.62,3905339.93,4538350.26,6.0,-3.1,0.8605197277126866,3.72
PA_12_2012,PA_12,2012,338941,KEITH J ROTHFUS,Republican,C,MARK S CRITZ,Democrat,I,3.47,2015329.53,2709384.24,6.0,-1.1,0.7438330452531162,-1.43
PA_12_2014,PA_12,2014,215921,KEITH J ROTHFUS,Republican,I,ERIN MCCLELLAND,Democrat,C,18.56,1807453.99,376714.84,9.0,5.7,4.797936789535554,3.86
PA_16_2014,PA_16,2014,176235,JOSEPH R PITTS,Republican,I,TOM HOUGHTON,Democrat,C,15.44,1314731.6,152536.68,4.0,5.7,8.61911770991738,5.74
PA_16_2016,PA_16,2016,313773,LLOYD K SMUCKER,Republican,O,CHRISTINA HARTMAN,Democrat,O,10.86,1694547.87,1148979.24,4.0,1.1,1.4748289708002036,5.76
