candidate
LARRY D MCFARLAND
MISCELLANEOUS
ALLEN R WATERS
DAVID N CICILLINE
ALLAN W FUNG
SETH M MAGAZINER
WILLIAM H GILBERT
NANCY MACE
ANNIE ANDREWS
JOSEPH ODDO
JOE WILSON
JUDD LARKINS
JEFF DUNCAN
WILLIAM R TIMMONS IV
RALPH NORMAN
EVANGELINE HUNDLEY
LARRY GAITHER
DUKE BUCKNER
JAMES E CLYBURN
RUSSELL FRY
DARYL W SCOTT
BLAKE D MOORE
RICK EDWIN JONES
CHRIS STEWART
NICK MITCHELL
JAYMAC MCFARLAND
CASSIE EASLEY
JOHN R CURTIS
GLENN J WRIGHT
MICHAEL STODDARD
DANIEL CLYDE CUMMINGS
AARON HEINEMAN
BURGESS OWENS
DARLENE MCDONALD
JANUARY WALKER
CAROL D MILLER
LACY WATSON
BELINDA FOX-SPENCER
ALEXANDER X MOONEY
BARRY LEE WENDELL
SARAH PALIN
NICK BEGICH
MARY SATTLER PELTOLA
CHRIS BYE
LEE MURPHY
LISA BLUNT ROCHESTER
CODY MCNUTT
DAVID ROGERS
KELLY ARMSTRONG
CARA MUND
DUSTY JOHNSON
COLLIN DUPREL
LIAM MADDEN
BECCA BALINT
ERICKA REDIC
MATT DRUZBA
LUKE TALBOT
ADAM ORTIZ
BLANK VOTES
OVERVOTES
HARRIET HAGEMAN
LYNNETTE GREYBULL
RICHARD BRUBAKER
MARISSA JOY SELVIG
UNDERVOTES
OVERVOTES
